20, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 6, 5, Hip, CompShg, BrkFace, Plywood, Stone, TA, TA, CBlock, TA, Gd, Gd, BLQ, Unf, GasA, Fa, Y, SBrkr, TA, Typ, Gd, Attchd, Fin, TA, TA, P, NA, NA, NA, WD , Normal, 215000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 1Story, 6, 7, Gable, CompShg, HdBoard, HdBoard, None, TA, Gd, PConc, Gd, TA, No, ALQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, NA, Attchd, Fin, TA, TA, Y, NA, GdPrv, Shed, WD , Normal, 185000
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 6, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Gd, Y, SBrkr, TA, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 180400
20, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 1Story, 7, 5, Gable, CompShg, HdBoard, HdBoard, None, TA, TA, PConc, Gd, TA, Gd, GLQ, Unf, GasA, Gd, Y, SBrkr, Gd, Typ, Po, Attchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 171500
120, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, StoneBr, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, HdBoard, HdBoard, None, Gd, TA, PConc, Gd, TA, Av, GLQ, BLQ, GasA, TA, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 212000
60, RL, Pave, NA, IR2, HLS, AllPub, CulDSac, Mod, StoneBr, Norm, Norm, 1Fam, 2Story, 8, 5, Hip, CompShg, CemntBd, Wd Shng, BrkFace, Ex, TA, PConc, Gd, TA, Gd, ALQ, Unf, GasA, Ex, Y, SBrkr, Ex, Mod, Gd, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 538000
50, RL, Pave, NA, IR1, Bnk, AllPub, Inside, Mod, Gilbert, Norm, Norm, 1Fam, 1.5Fin, 8, 7, Gable, CompShg, Wd Sdng, Wd Sdng, None, Gd, TA, Wood, Gd, TA, Av, GLQ, Unf, GasA, Gd, Y, SBrkr, TA, Typ, NA, Basment, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 164000
20, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, StoneBr, Norm, Norm, 1Fam, 1Story, 9, 2, Hip, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Ex, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Ex, Attchd, Fin, TA, TA, Y, NA, NA, NA, New, Partial, 394432
20, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, Gilbert, Norm, Norm, 1Fam, 1Story, 4, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, CBlock, TA, TA, No, LwQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, NA, Detchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 141000
20, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NWAmes, Norm, Norm, 1Fam, 1Story, 6, 6, Gable, CompShg, Plywood, Plywood, Stone, TA, TA, CBlock, Gd, TA, No, ALQ, Rec, GasA, TA, Y, SBrkr, TA, Min1, TA, Attchd, Unf, TA, TA, Y, NA, MnPrv, NA, WD , Normal, 210000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NWAmes, Norm, Norm, 1Fam, 1Story, 6, 6, Hip, CompShg, Plywood, Plywood, BrkFace, TA, TA, CBlock, Gd, TA, No, BLQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, TA, Attchd, RFn, TA, TA, Y, NA, MnPrv, NA, COD, Normal, 190000
85, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NWAmes, Norm, Norm, 1Fam, SFoyer, 7, 6, Gable, CompShg, Plywood, Plywood, BrkFace, TA, TA, CBlock, Gd, TA, Gd, GLQ, LwQ, GasA, TA, Y, SBrkr, Gd, Typ, TA, Attchd, RFn, TA, TA, Y, NA, MnPrv, NA, WD , Family, 170000
60, FV, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Somerst, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 216000
20, RL, Pave, NA, IR1, Lvl, AllPub, CulDSac, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 6, 7, Gable, CompShg, Wd Sdng, Wd Sdng, BrkFace, TA, TA, CBlock, TA, TA, No, ALQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, Shed, WD , Normal, 149000
20, RL, Pave, NA, IR1, Lvl, AllPub, CulDSac, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 5, 6, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, CBlock, TA, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, Fa, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 149900
20, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 5, 6, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, CBlock, TA, TA, No, BLQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, Fa, Attchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 142000
20, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 4, 5, Gable, CompShg, Plywood, Plywood, None, TA, TA, CBlock, TA, TA, No, ALQ, Rec, GasA, TA, Y, SBrkr, TA, Typ, NA, Attchd, Fin, TA, TA, Y, NA, MnPrv, NA, WD , Normal, 126000
20, RL, Pave, NA, Reg, Lvl, AllPub, FR2, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 4, 5, Gable, CompShg, HdBoard, HdBoard, None, TA, TA, CBlock, TA, TA, No, ALQ, Unf, GasA, TA, Y, SBrkr, TA, Typ, Po, NA, NA, NA, NA, Y, NA, NA, NA, ConLI, Normal, 115000
120, RH, Pave, NA, IR1, Lvl, AllPub, FR2, Gtl, NAmes, Norm, Norm, TwnhsE, 1Story, 7, 5, Gable, CompShg, MetalSd, MetalSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, BLQ, GasA, Ex, Y, SBrkr, Gd, Typ, Fa, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 184000
160, RM, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, BrDale, Norm, Norm, Twnhs, 2Story, 6, 5, Gable, CompShg, HdBoard, HdBoard, BrkFace, TA, TA, CBlock, TA, TA, No, Rec, Unf, GasA, TA, Y, SBrkr, TA, Typ, NA, Detchd, Unf, TA, TA, Y, NA, NA, NA, COD, Normal, 96000
160, RM, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, BrDale, Norm, Norm, Twnhs, 2Story, 5, 5, Gable, CompShg, HdBoard, HdBoard, BrkFace, TA, TA, CBlock, TA, TA, No, Rec, Unf, GasA, TA, Y, SBrkr, TA, Typ, NA, Detchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 105500
160, RM, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, BrDale, Norm, Norm, Twnhs, 2Story, 6, 5, Gable, CompShg, HdBoard, ImStucc, BrkFace, TA, TA, CBlock, TA, TA, No, Unf, Unf, GasA, TA, Y, SBrkr, TA, Typ, NA, Detchd, Unf, TA, TA, Y, NA, NA, NA, WD , Family, 88000
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NPkVill, Norm, Norm, TwnhsE, 1Story, 6, 5, Gable, CompShg, Plywood, Plywood, None, TA, TA, CBlock, Gd, TA, No, ALQ, Unf, GasA, TA, Y, SBrkr, TA, Typ, Fa, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 127500
160, RL, Pave, NA, Reg, Lvl, AllPub, FR2, Gtl, NPkVill, Norm, Norm, Twnhs, 2Story, 6, 6, Gable, CompShg, Plywood, Brk Cmn, None, TA, TA, CBlock, TA, TA, No, ALQ, Unf, GasA, TA, Y, SBrkr, Gd, Typ, TA, Attchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 149900
120, RL, Pave, NA, Reg, Lvl, AllPub, FR2, Gtl, NPkVill, Norm, Norm, Twnhs, 1Story, 7, 6, Gable, CompShg, Plywood, Brk Cmn, None, TA, TA, CBlock, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, TA, Typ, NA, Attchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 120000
160, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NPkVill, Norm, Norm, Twnhs, 2Story, 6, 5, Gable, CompShg, Plywood, Brk Cmn, None, TA, TA, CBlock, Gd, TA, No, ALQ, Unf, GasA, Fa, Y, SBrkr, TA, Typ, TA, Attchd, Unf, TA, TA, Y, NA, NA, NA, WD , Normal, 146000
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 2Story, 9, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Ex, TA, PConc, Ex, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, New, Partial, 376162
20, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Ex, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 306000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 9, 5, Hip, CompShg, VinylSd, VinylSd, Stone, Ex, TA, PConc, Ex, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, New, Partial, 395192
20, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, New, Partial, 290941
20, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, Mn, BLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, New, Partial, 220000
20, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NridgHt, PosN, Norm, 1Fam, 1Story, 9, 5, Hip, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Ex, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 275000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 8, 5, Hip, CompShg, CemntBd, CmentBd, BrkFace, Gd, TA, PConc, Ex, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 259000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 214000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, 1Fam, 1Story, 9, 5, Hip, CompShg, VinylSd, VinylSd, Stone, Ex, TA, PConc, Ex, TA, Gd, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, New, Partial, 611657
120, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, TwnhsE, 1Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Gd, TA, Mn, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, New, Partial, 224000
20, RL, Pave, NA, Reg, HLS, AllPub, Inside, Mod, NridgHt, Norm, Norm, 1Fam, 1Story, 9, 5, Hip, CompShg, VinylSd, VinylSd, BrkFace, Ex, TA, PConc, Ex, TA, Gd, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 500000
60, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, NridgHt, Norm, Norm, 1Fam, 2Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, Gd, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Ex, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 320000
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, TwnhsE, 1Story, 9, 5, Hip, CompShg, MetalSd, MetalSd, BrkFace, Ex, TA, PConc, Ex, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 319900
120, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Gd, TA, Mn, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 205000
160, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NridgHt, Norm, Norm, Twnhs, 2Story, 7, 5, Gable, CompShg, VinylSd, Wd Shng, Stone, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, BuiltIn, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 175500
20, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, Gilbert, Norm, Norm, 1Fam, 1Story, 6, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 199500
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Blmngtn, Norm, Norm, TwnhsE, 1Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 160000
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Blmngtn, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 192000
80, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, SLvl, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 184500
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 185088
80, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, SLvl, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, TA, Typ, TA, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 180000
60, RL, Pave, NA, IR1, Lvl, AllPub, CulDSac, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 222500
60, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NoRidge, Norm, Norm, 1Fam, 2Story, 9, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, BuiltIn, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 333168
60, RL, Pave, NA, IR2, Lvl, AllPub, CulDSac, Gtl, NoRidge, Norm, Norm, 1Fam, 2Story, 8, 5, Hip, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Ex, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 355000
20, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, NoRidge, Norm, Norm, 1Fam, 1Story, 7, 5, Hip, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 260400
60, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NoRidge, Norm, Norm, 1Fam, 2Story, 8, 5, Gable, CompShg, HdBoard, HdBoard, BrkFace, Gd, TA, PConc, Ex, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 325000
60, RL, Pave, NA, IR1, Lvl, AllPub, CulDSac, Gtl, NoRidge, Norm, Norm, 1Fam, 2Story, 8, 7, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 290000
60, RL, Pave, NA, IR2, Lvl, AllPub, CulDSac, Gtl, NoRidge, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Gd, Y, SBrkr, TA, Typ, NA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 221000
50, RL, Pave, NA, IR1, Lvl, AllPub, CulDSac, Gtl, NoRidge, Norm, Norm, 1Fam, 1.5Fin, 8, 5, Hip, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Ex, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 410000
20, FV, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Somerst, Norm, Norm, 1Fam, 1Story, 7, 5, Hip, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, New, Partial, 204500
60, FV, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Somerst, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, PConc, Gd, TA, Mn, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, Unf, TA, TA, Y, NA, NA, NA, Con, Normal, 215200
20, FV, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Somerst, Norm, Norm, 1Fam, 1Story, 8, 5, Gable, CompShg, VinylSd, VinylSd, Stone, Gd, TA, PConc, Gd, TA, Av, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 262500
60, FV, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, Somerst, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, RFn, TA, TA, Y, NA, GdWo, NA, WD , Normal, 254900
20, FV, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, Somerst, Norm, Norm, 1Fam, 1Story, 6, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Ex, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 271500
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, SawyerW, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, BuiltIn, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 233000
60, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, SawyerW, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, BrkFace, Gd, TA, PConc, Gd, TA, Av, Unf, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 181000
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, SawyerW, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Fa, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 205000
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, SawyerW, Norm, Norm, TwnhsE, 1Story, 6, 5, Gable, CompShg, Plywood, Plywood, None, TA, TA, CBlock, Gd, TA, No, BLQ, BLQ, GasA, TA, Y, SBrkr, TA, Typ, TA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 143000
